"Year","Total","Male","Female"
1999,75.7234315327815,73.1069631534581,78.5799400660788
2000,76.0875129998591,73.5586964272099,78.8389804046916
2001,76.0240230720117,73.5995373000739,78.6493092030354
2002,76.0779975023967,73.7701431038823,78.556701720084
2003,75.9602009648662,73.5253783220582,78.5947555375587
2004,76.4935875826546,74.0971690305079,79.0524760074024
2005,76.1784229979365,73.6730614699894,78.8869099061802
2006,76.7317107221602,74.2863042284403,79.3613127976416
2007,77.3247373187127,74.8375263240131,79.9928504703834
2008,77.4551422721878,75.014163284688,80.0645494207709
2009,77.9504250675346,75.5100072926963,80.5332799670261
2010,78.0684222083161,75.8371826697241,80.4206910516546
2011,77.9339804274271,75.6756870096253,80.318176866707
2012,78.2859683452057,76.107011195347,80.5911354124529
2013,78.2355818122303,76.1120698441832,80.4859271689296
2014,78.5183999874407,76.1091413527697,81.0926153239075
2015,78.3006079504964,76.0852147119169,80.645078119509
2016,78.1493081600804,75.8013095330321,80.6561336722657
2017,78.2348154482395,75.8563684750794,80.7715490485717
2018,78.6554091445382,76.066765034136,81.4316055103968
2019,78.764766403054,76.2495501994874,81.4541648206503
